"geschlecht";"zeit.bad";"alter"
"m";20;25
"w";30;35
"w";30;24
"w";15;21
"w";60;24
"w";30;24
"m";30;23
"m";15;22
"w";12;21
"w";40;27
"w";20;28
"w";20;27
"w";30;25
"w";40;26
"w";15;24
"m";20;25
"m";30;23
"m";30;23
"w";35;23
"w";3;34
"w";15;22
"m";10;25
"w";45;23
"w";30;22
"m";5;26
"w";60;31
"w";35;29
"w";30;21
"m";15;29
"w";60;25
"m";20;22
"w";20;24
"m";25;29
"w";30;25
"m";7;28
"m";15;19
"m";15;19
"w";10;21
"m";15;27
"w";20;22
"m";25;21
"w";10;27
"w";35;27
"w";90;28
"w";20;27
"m";15;20
"w";25;23
"m";10;32
"m";20;23
"w";25;23
"m";36;30
"w";30;30
"m";15;26
"m";15;21
"w";50;23
"w";25;22
"m";10;20
"m";20;36
"w";30;19
"w";30;29
"w";45;26
"m";20;21
"m";15;34
"m";20;21
"w";30;24
"m";20;24
"w";20;24
"w";20;24
"w";30;20
"w";30;20
"w";30;23
"w";20;20
"w";10;23
"w";45;23
"m";20;21
"m";20;26
"w";30;31
"m";20;19
"m";20;22
"w";25;25
"w";15;23
"w";35;22
"w";10;19
"m";5;22
"w";20;25
"w";25;20
"w";90;30
"m";20;23
"w";15;24
"w";30;24
"m";15;36
"w";15;31
"w";15;24
"w";30;29
"w";40;22
"w";30;25
"m";5;24
"m";8;18
"m";20;26
"m";15;26
"w";30;30
"w";25;28
"w";20;21
"m";30;33
"m";30;27
"w";15;27
"m";1;35
"w";30;31
"w";20;22
"w";30;23
"m";30;23
"w";15;28
"w";10;27
"w";40;20
"m";20;25
"m";15;24
"w";20;26
"m";20;37
"m";15;27
"w";30;24
"w";30;22
"m";25;29
"w";60;18
"w";25;22
"w";20;23
"w";45;24
"w";50;24
"m";20;21
"w";10;24
"m";30;20
"w";30;18
"w";30;26
"m";20;30
"w";5;21
"w";30;22
"m";10;26
"m";30;27
"w";45;39
"w";2;27
"w";45;27
"m";1;34
"m";15;20
"w";40;20
"w";40;18
"w";75;22
"w";25;22
"m";15;19
"m";45;19
"m";15;31
"w";60;25
"w";20;27
"w";30;35
"w";30;23
"w";20;25
"m";7;21
"w";15;21
"w";15;25
"w";60;21
"m";15;21
"m";30;38
"w";20;23
"w";15;28
"w";25;23
"w";45;32
"m";10;29
"m";30;25
"m";20;30
"w";25;22
"w";1;24
"w";15;20
"w";15;20
"w";30;26
"m";15;30
"m";30;19
"w";20;32
"w";5;20
"w";20;25
"w";20;21
"m";15;27
"m";25;25
"w";60;28
"m";25;20
"w";20;28
"m";20;23
"m";15;32
"w";30;19
"m";12;23
"m";25;25
"w";30;22
"w";10;27
"w";30;24
"w";20;21
"m";15;23
"m";30;21
"w";35;29
"m";10;30
"m";15;33
"w";30;21
"m";30;27
"w";12;29
"w";60;26
"m";20;24
"w";15;23
"w";35;25
"m";25;26
"m";15;24
"w";80;31
"w";15;20
"m";60;24
"m";10;23
"w";60;24
"w";30;25
"m";25;22
"m";10;24
"w";50;26
"m";20;22
"w";60;28
"m";10;19
"w";30;29
"w";15;28
"w";60;31
"w";40;24
"w";45;22
"m";3;33
"m";15;22
"m";30;26
"w";30;23
"w";20;33
"w";20;21
"w";30;22
"w";30;23
"w";15;35
"m";20;26
"m";15;22
"m";10;21
"w";20;19
"m";15;23
"m";10;23
"m";60;24
"w";20;27
"w";45;28
"m";20;30
"w";20;24
"m";10;23
"w";30;25
"m";15;29
"m";10;26
"m";30;26
"m";30;36
"m";40;31
"w";30;28
"w";15;33
"m";15;21
"w";45;22
"w";30;24
"w";30;23
"w";45;20
"m";30;25
"w";45;24
"m";15;20
"m";30;38
"m";10;22
"w";45;28
"w";25;23
"m";20;22
"w";10;20
"w";45;21
"m";15;22
"m";25;20
"w";20;21
"w";30;30
"w";30;25
"w";30;21
"w";15;29
"m";30;33
"w";30;27
"w";10;25
"w";30;25
"w";30;23
"m";20;22
"m";25;31
"w";15;25
"w";20;21
"m";20;27
"w";20;25
"w";30;24
"m";30;27
"m";30;24
"w";35;26
"w";20;25
"m";60;28
"m";10;19
"w";35;30
"w";45;22
"w";20;25
"m";15;19
"w";30;21
"w";20;24
"w";20;32
"m";20;27
"w";20;24
"w";50;33
"w";20;25
"w";60;20
"w";35;27
"w";25;35
"m";30;23
"w";30;24
"w";60;23
"w";80;27
"w";40;19
"w";40;23
"w";30;21
"w";30;36
"m";15;29
"w";30;27
"m";30;18
"w";10;27
"w";60;21
"w";30;24
"m";15;24
"w";45;25
"m";15;22
"w";5;24
"m";30;21
"w";35;22
"w";15;24
"m";35;31
"w";20;21
"m";20;28
"w";30;27
"m";15;24
"m";30;27
"w";15;35
"m";20;20
"w";20;21
"w";20;22
"w";10;23
"m";20;29
"m";30;27
"w";30;31
"m";29;32
"w";15;25
"m";45;22
"w";20;21
"m";20;20
"m";15;19
"m";15;23
